key,title,group,type,default,reader,consumer,status
pref_merge_tiling_tolerance_key,Допуск рассогласования тайлов,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,4.0,getMergeTilingTolerance,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_hdrplus_low_denoise_key,HDR+ low-frequency denoise,Настройки камеры > Съёмка и склейка > Склейка кадров,UniversalSeekBarPreference,100,getHdrPlusLowDenoise,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_hdrplus_high_denoise_key,HDR+ high-frequency denoise,Настройки камеры > Съёмка и склейка > Склейка кадров,UniversalSeekBarPreference,100,getHdrPlusHighDenoise,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_hdrplus_chroma_denoise_key,HDR+ chroma denoise,Настройки камеры > Съёмка и склейка > Склейка кадров,UniversalSeekBarPreference,100,getHdrPlusChromaDenoise,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_merge_seekbar_key,"Сила обычной склейки, EV",Настройки камеры > Съёмка и склейка > Склейка кадров,UniversalSeekBarPreference,0.0,,app/src/main/java/com/particlesdevs/photoncamera/api/Settings.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_hdrplus_snr_target_key,HDR+: целевой SNR,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,110,getHdrPlusSnrTarget,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_snr_verylow_low_key,Очень низкий SNR (< 8): низкие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.60,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_verylow_high_key,Очень низкий SNR (< 8): высокие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,0.70,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_verylow_chroma_key,Очень низкий SNR (< 8): цвет,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,2.00,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_low_low_key,Низкий SNR (8–20): низкие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.30,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_low_high_key,Низкий SNR (8–20): высокие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,0.85,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_low_chroma_key,Низкий SNR (8–20): цвет,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.60,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_med_low_key,Средний SNR (20–45): низкие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.00,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_med_high_key,Средний SNR (20–45): высокие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.00,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_med_chroma_key,Средний SNR (20–45): цвет,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.20,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_high_low_key,Высокий SNR (45–90): низкие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,0.80,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_high_high_key,Высокий SNR (45–90): высокие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.10,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_high_chroma_key,Высокий SNR (45–90): цвет,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,0.90,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_veryhigh_low_key,Очень высокий SNR (> 90): низкие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,0.60,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_veryhigh_high_key,Очень высокий SNR (> 90): высокие частоты,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,1.20,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_snr_veryhigh_chroma_key,Очень высокий SNR (> 90): цвет,Настройки камеры > Съёмка и склейка > Склейка кадров > HDR+ — сила по SNR,EditTextPreference,0.70,getSnrLowMultiplier / getSnrHighMultiplier / getSnrChromaMultiplier,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_highlight_recovery_key,Восстановление светов,Настройки камеры > Съёмка и склейка > Склейка кадров,SwitchPreferenceCompat,false,isHighlightRecoveryEnabled,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_highlight_recovery_min_ok_key,Восстановление: минимум каналов,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,2,getHighlightRecoveryMinOk,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_highlight_protection_key,Защита светов,Настройки камеры > Съёмка и склейка > Склейка кадров,SwitchPreferenceCompat,false,isHighlightProtectionEnabled,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_highlight_protection_knee_key,Защита светов: колено,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,0.8,getHighlightProtectionKnee,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_highlight_protection_strength_key,Защита светов: сила,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,1.0,getHighlightProtectionStrength,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_binning_key,Process 4x lower resolution,Настройки камеры > Съёмка и склейка,ManagedSwitchPreference,false,isBinningOn,app/src/main/java/com/particlesdevs/photoncamera/api/Settings.java,connected; conditional pipeline / device support
pref_energy_safe_key,Battery Saver,Настройки камеры > Съёмка и склейка,ManagedSwitchPreference,false,isBatterySaverOn; setBatterySaver,app/src/main/java/com/particlesdevs/photoncamera/ui/camera/CameraUIController.java; app/src/main/java/com/particlesdevs/photoncamera/ui/camera/viewmodel/SettingsBarEntryProvider.java,connected; conditional pipeline / device support
pref_remosaic_enabled_key,Включить ремозаик,Настройки камеры > RAW и ремозаик,SwitchPreferenceCompat,false,isRemosaicEnabled,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/PostPipeline.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/Remosaic.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_remosaic_block_key,Размер цветового блока,Настройки камеры > RAW и ремозаик,ListPreference,4,getRemosaicBlockSize,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_remosaic_backend_key,Алгоритм ремозаика,Настройки камеры > RAW и ремозаик,ListPreference,scamera,getRemosaicBackend,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
pref_tetra_response_key,Tetra — коррекция периодической сетки,Настройки камеры > RAW и ремозаик,SwitchPreferenceCompat,true,isTetraResponseCorrection,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
pref_remosaic_profile_key,Характер интерполяции,Настройки камеры > RAW и ремозаик,ListPreference,2,getRemosaicProfile,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
pref_remosaic_steered_key,Интерполяция по направлению,Настройки камеры > RAW и ремозаик,SwitchPreferenceCompat,true,isRemosaicSteered,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
pref_remosaic_clamp_key,Ограничение цветовых разностей,Настройки камеры > RAW и ремозаик,SwitchPreferenceCompat,true,isRemosaicClampDiffs,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
pref_remosaic_dump_key,Сохранять выход ремозаика,Настройки камеры > RAW и ремозаик,SwitchPreferenceCompat,false,isRemosaicDump,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/Remosaic.java,connected; conditional pipeline / device support
pref_remosaic_flatfield_key,Плоское поле блока,Настройки камеры > RAW и ремозаик,SwitchPreferenceCompat,false,isRemosaicFlatField,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
pref_remosaic_phase_x_key,Фаза по X,Настройки камеры > RAW и ремозаик,UniversalSeekBarPreference,0,getRemosaicPhase,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
pref_remosaic_phase_y_key,Фаза по Y,Настройки камеры > RAW и ремозаик,UniversalSeekBarPreference,0,getRemosaicPhase,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/RemosaicCore.java,connected; conditional pipeline / device support
hexquad_compute,Гибрид CPU + GPU + NPU,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Яркость и модель,Preference,,getHexQuadOptions,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,action / information
hexquad_exposure_ev,"Яркость снимка, EV",Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Яркость и модель,UniversalSeekBarPreference,0,getHexQuadExposureEv,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_model,Модель реконструкции,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Яркость и модель,ListPreference,2,getHexQuadModelScale,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_full_resolution,Полный выход x2,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Яркость и модель,SwitchPreferenceCompat,false,getHexQuadOptions,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_noise_overall,Общий множитель шума,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Шумовой профиль — эксперимент,UniversalSeekBarPreference,1,getHexQuadOptions,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_noise_photon,Фотонный шум,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Шумовой профиль — эксперимент,UniversalSeekBarPreference,1,getHexQuadOptions,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_noise_readout,Шум считывания,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Шумовой профиль — эксперимент,UniversalSeekBarPreference,1,getHexQuadOptions,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_luma,Люма — сила нейросглаживания,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Вклад нейросети и детали,UniversalSeekBarPreference,50,getHexQuadLuma,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_chroma,Хрома — сила нейросглаживания,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Вклад нейросети и детали,UniversalSeekBarPreference,100,getHexQuadChroma,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_texture,Адаптивное сохранение текстур,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Вклад нейросети и детали,UniversalSeekBarPreference,0,getHexQuadOptions,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_post_denoise,Дополнительный шумодав после HexQuad,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Вклад нейросети и детали,SwitchPreferenceCompat,false,isHexQuadPostDenoiseEnabled,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_auto_iso,Люма и хрома по ISO,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Автоматическая сила по ISO,SwitchPreferenceCompat,false,isHexQuadAutoIso,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
hexquad_iso_low_luma,Люма при ISO 100 и ниже,Настройки камеры > RAW и ремозаик > Нейроремозаик HP9 > Автоматическая сила по ISO,UniversalSeekBarPreference,35,getHexQuadOptions,app/src/main/cpp/vivo-hexquad-capture.h; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/HexQuadBurst.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/postpipeline/VivoNeuralClient.java; app/src/main/java/com/particlesdevs/photoncamera/settings/HexQuadOptions.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
